player_id,gameweek,total_points,minutes,goals_scored,assists,clean_sheets,saves,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,value,was_home,opponent_team,season,bps_last_gameweek,missing_bps_last_gameweek,id,first_name,second_name,team,position,weighted_goals,weighted_clean_sheets
2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,1,14,2024-25,2.0,0,2,Gabriel,Fernando de Jesus,1,Forward,0,0
2,15,1,16,0,0,0,0,0,0,0,0,0,0,0,5,2.2,0.0,0.0,0.2,68,0,9,2024-25,0.0,0,2,Gabriel,Fernando de Jesus,1,Forward,0,0
3,1,6,90,0,0,1,0,0,0,0,0,0,0,0,22,13.8,1.4,8.0,2.3,60,1,20,2024-25,0.0,1,3,Gabriel,dos Santos Magalhães,1,Defender,0,4
3,2,6,90,0,0,1,0,0,0,0,0,1,0,1,25,21.4,1.9,0.0,2.3,60,0,2,2024-25,22.0,0,3,Gabriel,dos Santos Magalhães,1,Defender,0,4
3,3,2,90,0,0,0,0,1,0,0,0,0,0,0,17,20.8,20.8,9.0,5.1,60,1,5,2024-25,25.0,0,3,Gabriel,dos Santos Magalhães,1,Defender,0,0
3,4,15,90,1,0,1,0,0,0,0,0,0,0,3,40,58.0,0.7,35.0,9.4,60,0,18,2024-25,17.0,0,3,Gabriel,dos Santos Magalhães,1,Defender,6,4
3,5,7,90,1,0,0,0,2,0,0,0,0,0,0,15,56.6,0.8,40.0,9.7,60,0,13,2024-25,40.0,0,3,Gabriel,dos Santos Magalhães,1,Defender,6,0
3,6,1,90,0,0,0,0,2,0,0,0,0,0,0,7,19.6,7.3,57.0,8.4,61,1,11,2024-25,15.0,0,3,Gabriel,dos Santos Magalhães,1,Defender,0,0
3,7,2,90,0,0,0,0,1,0,0,0,0,0,0,5,4.6,3.7,16.0,2.4,62,1,17,2024-25,7.0,0,3,Gabriel,dos Santos Magalhães,1,Defender,0,0
3,8,1,90,0,0,0,0,2,0,0,0,0,0,0,5,21.6,1.1,5.0,2.8,62,0,3,2024-25,5.0,0,3,Gabriel,dos Santos Magalhães,1,Defender,0,0
3,9,1,53,0,0,0,0,1,0,0,0,0,0,0,7,4.4,0.7,0.0,0.5,63,1,12,2024-25,5.0,0,3,Gabriel,dos Santos Magalhães,1,Defender,0,0
3,10,2,90,0,0,0,0,1,0,0,0,0,0,0,9,17.6,14.3,2.0,3.4,62,0,15,2024-25,7.0,0,3,Gabriel,dos Santos Magalhães,1,Defender,0,0
3,11,2,90,0,0,0,0,1,0,0,0,0,0,0,14,21.6,12.0,4.0,3.8,62,0,6,2024-25,9.0,0,3,Gabriel,dos Santos Magalhães,1,Defender,0,0
3,12,6,90,0,0,1,0,0,0,0,0,0,0,0,24,11.2,2.8,4.0,1.8,61,1,16,2024-25,14.0,0,3,Gabriel,dos Santos Magalhães,1,Defender,0,4
3,13,9,45,1,1,0,0,2,0,0,0,0,0,0,20,42.2,0.7,35.0,7.8,62,0,19,2024-25,24.0,0,3,Gabriel,dos Santos Magalhães,1,Defender,6,0
3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,1,14,2024-25,20.0,0,3,Gabriel,dos Santos Magalhães,1,Defender,0,0
3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,0,9,2024-25,0.0,0,3,Gabriel,dos Santos Magalhães,1,Defender,0,0
4,1,12,90,1,1,1,0,0,0,0,0,0,0,3,48,54.8,24.1,46.0,12.5,80,1,20,2024-25,0.0,1,4,Kai,Havertz,1,Forward,4,0
